apple,positive,1.26416E+17
apple,positive,1.26405E+17
apple,positive,1.26403E+17
apple,positive,1.26397E+17
apple,positive,1.26396E+17
apple,positive,1.26395E+17
apple,positive,1.2638E+17
apple,positive,1.26378E+17
apple,positive,1.26374E+17
apple,positive,1.26366E+17
apple,positive,1.26366E+17
apple,positive,1.26366E+17
apple,positive,1.26361E+17
apple,positive,1.2636E+17
apple,positive,1.26358E+17
apple,positive,1.26358E+17
apple,positive,1.26355E+17
apple,positive,1.26352E+17
apple,positive,1.26351E+17
apple,positive,1.2635E+17
apple,positive,1.2635E+17
apple,positive,1.26344E+17
apple,positive,1.26342E+17
apple,positive,1.26326E+17
apple,positive,1.26324E+17
apple,positive,1.26324E+17
apple,positive,1.26322E+17
apple,positive,1.26319E+17
apple,positive,1.26318E+17
apple,positive,1.26315E+17
apple,positive,1.26315E+17
apple,positive,1.26315E+17
apple,positive,1.26313E+17
apple,positive,1.26312E+17
apple,positive,1.26308E+17
apple,positive,1.26303E+17
apple,positive,1.26302E+17
apple,positive,1.26288E+17
apple,positive,1.26285E+17
apple,positive,1.26267E+17
apple,positive,1.26264E+17
apple,positive,1.26256E+17
apple,positive,1.26213E+17
apple,positive,1.26196E+17
apple,positive,1.26183E+17
apple,positive,1.2618E+17
apple,positive,1.26164E+17
apple,positive,1.26149E+17
apple,positive,1.26141E+17
apple,positive,1.26134E+17
apple,positive,1.26131E+17
apple,positive,1.26117E+17
apple,positive,1.26117E+17
apple,positive,1.26113E+17
apple,positive,1.26108E+17
apple,positive,1.26105E+17
apple,positive,1.26097E+17
apple,positive,1.26096E+17
apple,positive,1.26093E+17
apple,positive,1.26085E+17
apple,positive,1.26079E+17
apple,positive,1.26077E+17
apple,positive,1.26076E+17
apple,positive,1.26076E+17
apple,positive,1.26065E+17
apple,positive,1.26064E+17
apple,positive,1.26063E+17
apple,positive,1.26059E+17
apple,positive,1.26059E+17
apple,positive,1.26057E+17
apple,positive,1.26049E+17
apple,positive,1.2604E+17
apple,positive,1.2604E+17
apple,positive,1.2604E+17
apple,positive,1.26034E+17
apple,positive,1.26027E+17
apple,positive,1.26019E+17
apple,positive,1.26015E+17
apple,positive,1.2601E+17
apple,positive,1.26008E+17
apple,positive,1.26003E+17
apple,positive,1.26E+17
apple,positive,1.25995E+17
apple,positive,1.25979E+17
apple,positive,1.25979E+17
apple,positive,1.25978E+17
apple,positive,1.25975E+17
apple,positive,1.2596E+17
apple,positive,1.25959E+17
apple,positive,1.25954E+17
apple,positive,1.25948E+17
apple,positive,1.25947E+17
apple,positive,1.25943E+17
apple,positive,1.2594E+17
apple,positive,1.25933E+17
apple,positive,1.2593E+17
apple,positive,1.25926E+17
apple,positive,1.25924E+17
apple,positive,1.25923E+17
apple,positive,1.25911E+17
apple,positive,1.2591E+17
apple,positive,1.25908E+17
apple,positive,1.25902E+17
apple,positive,1.25901E+17
